,group,name,text,clean_text
151,Open EHR,note73 [Open EHR].jpg,"IF SOMEBODY MAKE
YOUR DANA IT
HAS VAWE INIT
GIVE PEOPLE MORE
CONTROL OVER
PAM
",somebodi dana init peopl control
152,Open EHR,note74 [Open EHR].jpg,"BB
:
IF NOT BREAKING
FREM EHR SIDES
DURA
u
BREAKING from
GROUND
soor
!
24W
",break frem side dura break ground soor
153,Open EHR,note75 [Open EHR].jpg,"WHEN TALK
MY PANENS...
THEY ASSUME NE
ARE TAKING ME
DRA. DISAPPINED
WHEN NOT.
B-29
",talk panen assum take disappin
154,Open EHR,note76 [Open EHR].jpg,"IN SP YEARS,
NE WANT TO SEE
PATIENTS HAVING
ILEGAL CONTROL OF
ThiER OWN DATA
a
Psz
ad
",year want patient have ileg control thier data
155,Open EHR,note77 [Open EHR].jpg,"NO PANENT JA
CENTERIOR
LEON of DAMAI
DAA COUELVED
ATEHUM HOSPITAL
12
",panent centerior leon damai couelv atehum hospit
156,Open EHR,note78 [Open EHR].jpg,"ONLY EARU
ADOPPERS ILEADING
EDUE PARTICIPATEO
IN METASAACCAN
. MAJORITY NOT
ENGAGED?
",earu adopp ilead participateo metasaaccan major engag
157,Open EHR,note79 [Open EHR].jpg,"Lots of data
genaste that is
eruptable, but
nomor then that
TB2a
",data genast erupt nomor tb2a
158,Open EHR,note80 [Open EHR].jpg,"Lots or data in
the source record
by the time it
reaches the public
archive it will be
just Cacoor
diabetes TB30
",data sourc record time reach public archiv cacoor diabet tb30
159,Open EHR,note81 [Open EHR].jpg,"Unstructed to
strastered current
quite lossy The
researcher stuckia""
the middle with
to e incentie
TB28
",unstruct straster current lossi research stuckia middl incenti tb28
160,Open EHR,note82 [Open EHR].jpg,"Coding systems
encouraje poor data
Drop dowe lists make
you mil most
obnous thing. Bias
towards À
TB3)
",code system encouraj poor data drop list obnou thing
161,Open EHR,note83 [Open EHR].jpg,"People in clinics
are not tobally
incentivited to do
data margement
They seterup
their notes
TR33
",peopl clinic tobal incentivit data margement seterup note tr33
162,Open EHR,note84 [Open EHR].jpg,"IMPLICIT
KOWE OG
",implicit
163,Ready ML models,note85 [Ready ML models].jpg,"Democratisation
Really interesting.
As long as it is
sufficiently
constrained
Scol
TB43
",democratis interest long suffici constrain scol tb43
164,Ready ML models,note86 [Ready ML models].jpg,"Democratisation
Agiant bin would
be noisy.
Target at problems
Marry solutions to
",democratis agiant noisi target problem marri solut
165,Ready ML models,note87 [Ready ML models].jpg,"Democratisation
We thought about
with HDX ... Create
a space to share
models
5723
",democratis thought creat space share model 5723
166,Ready ML models,note88 [Ready ML models].jpg,"o relevans
autopicking for
specific subjects
a possible need
",relevan autopick specif subject possibl need
167,Ready ML models,note89 [Ready ML models].jpg,"What is the
popping tool that
will allocs de toi
do machine Learning
ine GIS mode.
Once attributes
picked a starting
point for geographe
model wadobe i
useje
SO2
",tool alloc machin learn mode attribut pick start point geograph model wadob usej
168,Ready ML models,note90 [Ready ML models].jpg,"ITS FINE BUT
2013 EXISTS.
DOES NOT NEED
RICKSTARTING
GOOGLE = SEEDIA
WELLCOME
S O NOT FUN
",fine 2013 exist need rickstart googl seedia wellcom
169,Ready ML models,note91 [Ready ML models].jpg,"There are a bunch
of commutial
providers who do
auto ML model
Selection for you
SDIT
",bunch commuti provid auto model select sdit
170,Ready ML models,note92 [Ready ML models].jpg,"We thought the
hard thing way
model. That's going
to be commoditi
SD14
",thought hard thing model that commod sd14
171,Ready ML models,note93 [Ready ML models].jpg,"WITH ME USUAL
CESS & BALANCE
WHY NOT? ME
MORE HETEROGENOUS
YOUR DAMSET IS.
ME LONGER ir
move TAKE
ICE
",usual cess balanc heterogen damset longer
172,Ready ML models,note94 [Ready ML models].jpg,"WHAIS ME IP
SO I AM TESTING
You a MODEL
ON YOUR DANSE
WHO GET
CREDIT?
EP
",whai test model dans credit
173,Ready ML models,note95 [Ready ML models].jpg,"BARRIERS -
INSTITUTERISK
MANAGEMENT
WHO PROFITS
from it?
How Do You
SHARE CREDIT?
",barrier instituterisk manag profit share credit
174,Ready ML models,note96 [Ready ML models].jpg,"MORE & MORE
RESEARCHERS ARE
CROWDSOURCING
Y MEIR PROJECT
SUPRISED BY
How Much PPL
po on niman er
",research crowdsourc meir project supris niman
175,Ready ML models,note97 [Ready ML models].jpg,"NEWYD SAS
Ninida indos
an zat aan
",newyd ninida indo
176,Data counceling,note98 [Data counceling].jpg,"te la
and Jabá scientists
working together
viatooling is
very difficult
TB35
",jabá scientist work viatool difficult tb35
177,Data counceling,note99 [Data counceling].jpg,"DONT MINK mis
IS ME BEST
MECHANISM
TO BRIDGE CHAP
BETWEEN Teen
tLife SCIENCES
",dont mink best mechan bridg chap teen tlife scienc
